,author,date,url,year,filename
53,"Atwood, Margaret",1974-10-18,https://montreal.spokenweb.ca/sgw-poetry-readings/margaret-atwood-at-sgwu/,1974,01 Margaret Atwood (NEW_) I006-11-008.ogg
52,"Atwood, Margaret Nowlan, Alden",1967-10-13,https://montreal.spokenweb.ca/sgw-poetry-readings/margaret-atwood-and-alden-nowlan-at-sgwu-1967/,1967,4-01 Margaret Atwood and Alden Nowlan I006-11-036.ogg
54,"Avison, Margaret",1967-01-27,https://montreal.spokenweb.ca/sgw-poetry-readings/margaret-avison-at-sgwu-1967/,1967,7-01 Margaret Avison  1086-11-002.1.ogg
18,"Ball, David Raworth, Tom",1970-03-02,https://montreal.spokenweb.ca/sgw-poetry-readings/david-ball-tom-raworth/,1970,1-01 David Ball and Tom Raworth 2.ogg
37,"Beissel, Henry",1967-01-13,https://montreal.spokenweb.ca/sgw-poetry-readings/henry-beissel-reads-with-introduction-by-louis-dudek-michael-gnarowski-in-same-reading/,1967,01 Henry Beissel.ogg
73,"Berrigan, Ted",1970-12-04,https://montreal.spokenweb.ca/sgw-poetry-readings/ted-berrigan-at-sgwu-1970/,1970,01 Ted Berrigan 1086-11-004.ogg
24,"Birney, Earle",1968-02-23,https://montreal.spokenweb.ca/sgw-poetry-readings/earle-birney-at-sgwu-1968/,1968,01 Earle Birney I006-11-018.1.ogg
69,"Blaser, Robin",1969-03-28,https://montreal.spokenweb.ca/sgw-poetry-readings/robin-blaser-at-sgwu-1969/,1969,01 Robin Blaser I086-11-005.1.ogg
48,"Borges, Jorge Luis",1968-02-29,https://montreal.spokenweb.ca/sgw-poetry-readings/jorge-luis-borges-at-sgwu-1968/,1968,
33,"Bowering, George",1974-01-01,https://montreal.spokenweb.ca/sgw-poetry-readings/george-bowering-at-sgwu-1974/,1974,01 George Bowering I086-11-006.ogg
19,"Bromige, David",1970-11-06,https://montreal.spokenweb.ca/sgw-poetry-readings/david-bromige-at-sgwu-1970/,1970,
